,sentimiento
2140,negativo
2141,positivo
2142,positivo
2143,positivo
2144,positivo
2145,negativo
2146,negativo
2147,positivo
2148,negativo
2149,positivo
2150,negativo
2151,negativo
2152,negativo
2153,positivo
2154,positivo
2155,negativo
2156,positivo
2157,negativo
2158,negativo
2159,positivo
2160,positivo
2161,negativo
2162,positivo
2163,positivo
2164,positivo
2165,positivo
2166,positivo
2167,positivo
2168,positivo
2169,positivo
2170,positivo
2171,positivo
2172,positivo
2173,positivo
2174,negativo
2175,negativo
2176,positivo
2177,positivo
2178,positivo
2179,negativo
2180,positivo
2181,negativo
2182,negativo
2183,negativo
2184,negativo
2185,positivo
2186,negativo
2187,positivo
2188,positivo
2189,negativo
2190,positivo
2191,negativo
2192,negativo
2193,positivo
2194,positivo
2195,positivo
2196,positivo
2197,positivo
2198,negativo
2199,negativo
2200,negativo
2201,positivo
2202,positivo
2203,positivo
2204,negativo
2205,positivo
2206,positivo
2207,positivo
2208,positivo
2209,positivo
2210,positivo
2211,positivo
2212,positivo
2213,positivo
2214,positivo
2215,positivo
2216,positivo
2217,negativo
2218,positivo
2219,negativo
2220,positivo
2221,positivo
2222,positivo
2223,positivo
2224,positivo
2225,positivo
2226,positivo
2227,negativo
2228,positivo
2229,positivo
2230,positivo
2231,positivo
2232,positivo
2233,positivo
2234,positivo
2235,negativo
2236,positivo
2237,negativo
2238,negativo
2239,negativo
2240,negativo
2241,positivo
2242,positivo
2243,negativo
2244,negativo
2245,positivo
2246,positivo
2247,positivo
2248,positivo
2249,positivo
2250,positivo
2251,positivo
2252,negativo
2253,positivo
2254,positivo
2255,positivo
2256,positivo
2257,positivo
2258,positivo
2259,negativo
2260,positivo
2261,positivo
2262,positivo
2263,positivo
2264,positivo
2265,negativo
2266,positivo
2267,positivo
2268,positivo
2269,positivo
2270,positivo
2271,positivo
2272,positivo
2273,negativo
2274,positivo
2275,positivo
2276,negativo
2277,negativo
2278,positivo
2279,negativo
2280,negativo
2281,positivo
2282,positivo
2283,positivo
2284,positivo
2285,positivo
2286,positivo
2287,positivo
2288,negativo
2289,positivo
2290,positivo
2291,negativo
2292,negativo
2293,positivo
2294,positivo
2295,positivo
2296,positivo
2297,positivo
2298,positivo
2299,negativo
2300,positivo
2301,negativo
2302,positivo
2303,positivo
2304,positivo
2305,negativo
2306,positivo
2307,positivo
2308,positivo
2309,negativo
2310,negativo
2311,positivo
2312,positivo
2313,positivo
2314,negativo
2315,negativo
2316,positivo
2317,negativo
2318,negativo
2319,positivo
2320,positivo
2321,negativo
2322,positivo
2323,positivo
2324,negativo
2325,negativo
2326,positivo
2327,positivo
2328,negativo
2329,negativo
2330,negativo
2331,positivo
2332,negativo
2333,positivo
2334,negativo
2335,negativo
2336,negativo
2337,positivo
2338,positivo
2339,positivo
2340,positivo
2341,positivo
2342,negativo
2343,negativo
2344,negativo
2345,negativo
2346,negativo
2347,negativo
2348,positivo
2349,negativo
2350,negativo
2351,negativo
2352,positivo
2353,positivo
2354,positivo
2355,positivo
2356,negativo
2357,positivo
2358,positivo
2359,positivo
2360,negativo
2361,positivo
2362,negativo
2363,positivo
2364,positivo
2365,negativo
2366,negativo
2367,negativo
2368,positivo
2369,positivo
2370,positivo
2371,positivo
2372,positivo
2373,positivo
2374,positivo
2375,negativo
2376,positivo
2377,negativo
2378,positivo
2379,negativo
2380,negativo
2381,positivo
2382,positivo
2383,negativo
2384,negativo
2385,negativo
2386,positivo
2387,positivo
2388,positivo
2389,negativo
2390,negativo
2391,negativo
2392,negativo
2393,positivo
2394,positivo
2395,positivo
2396,positivo
2397,positivo
2398,positivo
2399,positivo
2400,positivo
2401,positivo
2402,positivo
2403,negativo
2404,positivo
2405,positivo
2406,positivo
2407,positivo
2408,negativo
2409,positivo
2410,positivo
2411,positivo
2412,positivo
2413,positivo
2414,positivo
2415,positivo
2416,positivo
2417,negativo
2418,positivo
2419,positivo
2420,negativo
2421,positivo
2422,positivo
2423,positivo
2424,negativo
2425,negativo
2426,positivo
2427,positivo
2428,positivo
2429,negativo
2430,positivo
2431,positivo
2432,positivo
2433,negativo
2434,positivo
2435,positivo
2436,positivo
2437,positivo
2438,positivo
2439,positivo
2440,positivo
2441,positivo
2442,positivo
2443,positivo
2444,positivo
2445,positivo
2446,positivo
2447,positivo
2448,positivo
2449,positivo
2450,negativo
2451,positivo
2452,negativo
2453,positivo
2454,positivo
2455,positivo
2456,positivo
2457,positivo
2458,positivo
2459,negativo
2460,negativo
2461,positivo
2462,negativo
2463,positivo
2464,positivo
2465,negativo
2466,negativo
2467,positivo
2468,positivo
2469,positivo
2470,negativo
2471,positivo
2472,positivo
2473,positivo
2474,positivo
2475,positivo
2476,positivo
2477,positivo
2478,positivo
2479,positivo
2480,positivo
2481,positivo
2482,positivo
2483,negativo
2484,positivo
2485,negativo
2486,positivo
2487,positivo
2488,positivo
2489,positivo
2490,positivo
2491,positivo
2492,positivo
2493,positivo
2494,positivo
2495,positivo
2496,positivo
2497,positivo
2498,positivo
2499,positivo
2500,positivo
2501,positivo
2502,positivo
2503,positivo
2504,positivo
2505,positivo
2506,positivo
2507,positivo
2508,positivo
2509,positivo
2510,negativo
2511,positivo
2512,positivo
2513,positivo
2514,negativo
2515,positivo
2516,negativo
2517,negativo
2518,positivo
2519,positivo
2520,positivo
2521,positivo
2522,positivo
2523,negativo
2524,negativo
2525,negativo
2526,negativo
2527,negativo
2528,positivo
2529,positivo
2530,positivo
2531,negativo
2532,positivo
2533,positivo
2534,positivo
2535,negativo
2536,positivo
2537,positivo
2538,positivo
2539,positivo
2540,positivo
2541,negativo
2542,positivo
2543,positivo
2544,positivo
2545,positivo
2546,positivo
2547,positivo
2548,positivo
2549,positivo
2550,negativo
2551,positivo
2552,negativo
2553,negativo
2554,positivo
2555,negativo
2556,positivo
2557,positivo
2558,positivo
2559,positivo
2560,negativo
2561,negativo
2562,positivo
2563,negativo
2564,positivo
2565,negativo
2566,positivo
2567,positivo
2568,positivo
2569,positivo
2570,positivo
2571,positivo
2572,positivo
2573,positivo
2574,positivo
2575,positivo
2576,positivo
2577,positivo
2578,positivo
2579,negativo
2580,negativo
2581,positivo
2582,negativo
2583,negativo
2584,negativo
2585,negativo
2586,positivo
2587,negativo
2588,negativo
2589,negativo
2590,negativo
2591,negativo
2592,positivo
2593,positivo
2594,negativo
2595,positivo
2596,negativo
2597,negativo
2598,negativo
2599,negativo
2600,negativo
2601,negativo
2602,negativo
2603,negativo
2604,negativo
2605,negativo
2606,negativo
2607,positivo
2608,positivo
2609,negativo
2610,positivo
2611,negativo
2612,positivo
2613,positivo
2614,negativo
2615,negativo
2616,negativo
2617,negativo
2618,negativo
2619,negativo
2620,negativo
2621,negativo
2622,positivo
2623,negativo
2624,positivo
2625,negativo
2626,negativo
2627,negativo
2628,negativo
2629,negativo
2630,negativo
2631,negativo
2632,negativo
2633,negativo
2634,negativo
2635,negativo
2636,negativo
2637,positivo
2638,positivo
2639,positivo
2640,negativo
2641,negativo
2642,positivo
2643,positivo
2644,positivo
2645,negativo
2646,negativo
2647,negativo
2648,negativo
2649,positivo
2650,positivo
2651,negativo
2652,positivo
2653,negativo
2654,positivo
2655,positivo
2656,negativo
2657,negativo
2658,negativo
2659,positivo
2660,negativo
2661,negativo
2662,negativo
2663,negativo
2664,positivo
2665,negativo
2666,positivo
2667,negativo
2668,negativo
2669,negativo
2670,negativo
2671,negativo
2672,positivo
2673,negativo
2674,negativo
2675,positivo
2676,positivo
2677,positivo
2678,negativo
2679,negativo
2680,negativo
2681,negativo
2682,negativo
2683,positivo
2684,negativo
2685,positivo
2686,negativo
2687,positivo
2688,negativo
2689,negativo
2690,negativo
2691,positivo
2692,positivo
2693,negativo
2694,negativo
2695,negativo
2696,negativo
2697,negativo
2698,negativo
2699,negativo
2700,negativo
2701,negativo
2702,positivo
2703,negativo
2704,positivo
2705,negativo
2706,negativo
2707,negativo
2708,negativo
2709,negativo
2710,negativo
2711,positivo
2712,positivo
2713,negativo
2714,negativo
2715,negativo
2716,positivo
2717,negativo
2718,negativo
2719,negativo
2720,positivo
2721,negativo
2722,negativo
2723,positivo
2724,positivo
2725,positivo
2726,negativo
2727,negativo
2728,positivo
2729,positivo
2730,positivo
2731,positivo
2732,positivo
2733,positivo
2734,negativo
2735,positivo
2736,positivo
2737,negativo
2738,positivo
2739,positivo
2740,positivo
2741,positivo
2742,positivo
2743,negativo
2744,negativo
2745,positivo
2746,negativo
2747,negativo
2748,positivo
2749,positivo
2750,negativo
2751,negativo
2752,positivo
2753,negativo
2754,positivo
2755,positivo
2756,positivo
2757,positivo
2758,positivo
2759,negativo
2760,negativo
2761,positivo
2762,negativo
2763,positivo
2764,positivo
2765,negativo
2766,negativo
2767,negativo
2768,positivo
2769,positivo
2770,negativo
2771,negativo
2772,negativo
2773,positivo
2774,positivo
2775,negativo
2776,positivo
2777,positivo
2778,positivo
2779,positivo
2780,positivo
2781,positivo
2782,positivo
2783,positivo
2784,positivo
2785,negativo
2786,positivo
2787,negativo
2788,negativo
2789,positivo
2790,positivo
2791,negativo
2792,negativo
2793,positivo
2794,negativo
2795,negativo
2796,negativo
2797,positivo
2798,positivo
2799,positivo
2800,negativo
2801,negativo
2802,negativo
2803,positivo
2804,positivo
2805,positivo
2806,positivo
2807,positivo
2808,positivo
2809,positivo
2810,positivo
2811,positivo
2812,positivo
2813,negativo
2814,positivo
2815,negativo
2816,positivo
2817,positivo
2818,positivo
2819,positivo
2820,positivo
2821,positivo
2822,positivo
2823,negativo
2824,positivo
2825,positivo
2826,negativo
2827,negativo
2828,positivo
2829,positivo
2830,positivo
2831,positivo
2832,positivo
2833,negativo
2834,positivo
2835,positivo
2836,positivo
2837,positivo
2838,positivo
2839,positivo
2840,positivo
2841,negativo
2842,positivo
2843,negativo
2844,positivo
2845,negativo
2846,positivo
2847,positivo
2848,positivo
2849,negativo
2850,positivo
2851,positivo
2852,negativo
2853,positivo
2854,negativo
2855,negativo
2856,positivo
2857,negativo
2858,positivo
2859,negativo
2860,negativo
2861,positivo
2862,positivo
2863,positivo
2864,positivo
2865,positivo
2866,positivo
2867,positivo
2868,positivo
2869,positivo
2870,positivo
2871,positivo
2872,positivo
2873,positivo
2874,positivo
2875,positivo
2876,positivo
2877,positivo
2878,positivo
2879,positivo
2880,positivo
2881,positivo
2882,positivo
2883,positivo
2884,negativo
2885,positivo
2886,positivo
2887,positivo
2888,negativo
2889,negativo
2890,positivo
2891,positivo
2892,positivo
2893,negativo
2894,positivo
2895,negativo
2896,positivo
2897,positivo
2898,positivo
2899,negativo
2900,positivo
2901,positivo
2902,positivo
2903,positivo
2904,positivo
2905,positivo
2906,positivo
2907,positivo
2908,negativo
2909,positivo
2910,positivo
2911,positivo
2912,negativo
2913,positivo
2914,positivo
2915,negativo
2916,positivo
2917,positivo
2918,positivo
2919,positivo
2920,positivo
2921,positivo
2922,positivo
2923,positivo
2924,positivo
2925,positivo
2926,positivo
2927,positivo
2928,negativo
2929,negativo
2930,positivo
2931,positivo
2932,negativo
2933,positivo
2934,positivo
2935,positivo
2936,positivo
2937,positivo
2938,negativo
2939,positivo
2940,positivo
2941,positivo
2942,negativo
2943,negativo
2944,negativo
2945,negativo
2946,negativo
2947,positivo
2948,positivo
2949,positivo
2950,positivo
2951,positivo
2952,positivo
2953,negativo
2954,positivo
2955,positivo
2956,positivo
2957,positivo
2958,negativo
2959,positivo
2960,positivo
2961,positivo
2962,positivo
2963,positivo
2964,negativo
2965,positivo
2966,positivo
2967,positivo
2968,positivo
2969,positivo
2970,positivo
2971,positivo
2972,positivo
2973,negativo
2974,positivo
2975,positivo
2976,negativo
2977,positivo
2978,positivo
2979,positivo
2980,negativo
2981,positivo
2982,negativo
2983,negativo
2984,positivo
2985,positivo
2986,negativo
2987,positivo
2988,positivo
2989,positivo
2990,negativo
2991,negativo
2992,negativo
2993,negativo
2994,positivo
2995,positivo
2996,positivo
2997,negativo
2998,positivo
2999,positivo
3000,positivo
3001,negativo
3002,positivo
3003,negativo
3004,positivo
3005,negativo
3006,positivo
3007,negativo
3008,negativo
3009,positivo
3010,negativo
3011,positivo
3012,negativo
3013,positivo
3014,positivo
3015,positivo
3016,positivo
3017,positivo
3018,negativo
3019,positivo
3020,positivo
3021,negativo
3022,positivo
3023,positivo
3024,negativo
3025,negativo
3026,positivo
3027,positivo
3028,positivo
3029,negativo
3030,negativo
3031,positivo
3032,positivo
3033,negativo
3034,negativo
3035,positivo
3036,positivo
3037,negativo
3038,negativo
3039,positivo
3040,positivo
3041,negativo
3042,positivo
3043,positivo
3044,positivo
3045,positivo
3046,negativo
3047,positivo
3048,negativo
3049,negativo
3050,negativo
3051,positivo
3052,negativo
3053,negativo
3054,negativo
3055,positivo
3056,negativo
3057,positivo
3058,negativo
3059,positivo
3060,negativo
3061,positivo
3062,negativo
3063,negativo
3064,positivo
3065,negativo
3066,positivo
3067,negativo
3068,negativo
3069,positivo
3070,negativo
3071,positivo
3072,positivo
3073,positivo
3074,positivo
3075,positivo
3076,positivo
3077,positivo
3078,negativo
3079,negativo
3080,negativo
3081,negativo
3082,negativo
3083,negativo
3084,negativo
3085,negativo
3086,negativo
3087,positivo
3088,negativo
3089,positivo
3090,negativo
3091,positivo
3092,negativo
3093,negativo
3094,negativo
3095,negativo
3096,negativo
3097,negativo
3098,negativo
3099,negativo
3100,negativo
3101,positivo
3102,negativo
3103,negativo
3104,negativo
3105,negativo
3106,positivo
3107,positivo
3108,negativo
3109,negativo
3110,negativo
3111,negativo
3112,negativo
3113,negativo
3114,positivo
3115,positivo
3116,negativo
3117,negativo
3118,negativo
3119,positivo
3120,negativo
3121,negativo
3122,positivo
3123,negativo
3124,negativo
3125,negativo
3126,positivo
3127,negativo
3128,negativo
3129,negativo
3130,positivo
3131,negativo
3132,negativo
3133,negativo
3134,negativo
3135,negativo
3136,negativo
3137,negativo
3138,negativo
3139,positivo
3140,negativo
3141,positivo
3142,positivo
3143,negativo
3144,positivo
3145,positivo
3146,positivo
3147,positivo
3148,positivo
3149,positivo
3150,positivo
3151,negativo
3152,negativo
3153,negativo
3154,negativo
3155,negativo
3156,negativo
3157,negativo
3158,positivo
3159,positivo
3160,positivo
3161,negativo
3162,positivo
3163,negativo
3164,negativo
3165,negativo
3166,positivo
3167,positivo
3168,positivo
3169,negativo
3170,negativo
3171,positivo
3172,negativo
3173,negativo
3174,negativo
3175,negativo
3176,negativo
3177,negativo
3178,positivo
3179,negativo
3180,negativo
3181,positivo
3182,negativo
3183,negativo
3184,positivo
3185,negativo
3186,positivo
3187,negativo
3188,negativo
3189,negativo
3190,negativo
3191,negativo
3192,positivo
3193,negativo
3194,negativo
3195,positivo
3196,positivo
3197,positivo
3198,positivo
3199,positivo
3200,negativo
3201,negativo
3202,negativo
3203,negativo
3204,negativo
3205,negativo
3206,positivo
3207,negativo
3208,positivo
3209,negativo
3210,negativo
3211,positivo
3212,positivo
3213,negativo
3214,negativo
3215,positivo
3216,negativo
3217,positivo
3218,positivo
3219,positivo
3220,positivo
3221,negativo
3222,negativo
3223,positivo
3224,positivo
3225,negativo
3226,negativo
3227,positivo
3228,positivo
3229,negativo
3230,negativo
3231,positivo
3232,positivo
3233,negativo
3234,negativo
3235,positivo
3236,positivo
3237,positivo
3238,positivo
3239,negativo
3240,positivo
3241,positivo
3242,positivo
3243,positivo
3244,positivo
3245,positivo
3246,positivo
3247,positivo
3248,positivo
3249,positivo
3250,positivo
3251,positivo
3252,positivo
3253,positivo
3254,positivo
3255,negativo
3256,positivo
3257,positivo
3258,positivo
3259,positivo
3260,positivo
3261,positivo
3262,positivo
3263,positivo
3264,negativo
3265,negativo
3266,negativo
3267,positivo
3268,negativo
3269,positivo
3270,positivo
3271,positivo
3272,negativo
3273,positivo
3274,positivo
3275,negativo
3276,negativo
3277,negativo
3278,negativo
3279,positivo
3280,positivo
3281,negativo
3282,negativo
3283,negativo
3284,positivo
3285,positivo
3286,negativo
3287,negativo
3288,negativo
3289,negativo
3290,positivo
3291,positivo
3292,positivo
3293,positivo
3294,negativo
3295,positivo
3296,positivo
3297,positivo
3298,positivo
3299,positivo
3300,positivo
3301,negativo
3302,positivo
3303,negativo
3304,positivo
3305,positivo
3306,negativo
3307,positivo
3308,negativo
3309,negativo
3310,positivo
3311,positivo
3312,positivo
3313,positivo
3314,positivo
3315,positivo
3316,positivo
3317,positivo
3318,positivo
3319,negativo
3320,positivo
3321,positivo
3322,positivo
3323,negativo
3324,positivo
3325,negativo
3326,positivo
3327,positivo
3328,negativo
3329,negativo
3330,positivo
3331,positivo
3332,negativo
3333,positivo
3334,positivo
3335,positivo
3336,positivo
3337,negativo
3338,positivo
3339,negativo
3340,positivo
3341,negativo
3342,positivo
3343,negativo
3344,positivo
3345,positivo
3346,negativo
3347,negativo
3348,positivo
3349,negativo
3350,negativo
3351,negativo
3352,positivo
3353,positivo
3354,negativo
3355,negativo
3356,positivo
3357,positivo
3358,negativo
3359,positivo
3360,negativo
3361,positivo
3362,positivo
3363,positivo
3364,negativo
3365,negativo
3366,positivo
3367,negativo
3368,negativo
3369,negativo
3370,negativo
3371,positivo
3372,positivo
3373,positivo
3374,positivo
3375,positivo
3376,negativo
3377,positivo
3378,positivo
3379,negativo
3380,positivo
3381,negativo
3382,negativo
3383,positivo
3384,positivo
3385,positivo
3386,negativo
3387,negativo
3388,positivo
3389,positivo
3390,negativo
3391,negativo
3392,negativo
3393,negativo
3394,negativo
3395,negativo
3396,negativo
3397,positivo
3398,negativo
3399,negativo
3400,negativo
3401,positivo
3402,positivo
3403,negativo
3404,negativo
3405,positivo
3406,negativo
3407,positivo
3408,positivo
3409,positivo
3410,positivo
3411,negativo
3412,positivo
3413,negativo
3414,negativo
3415,positivo
3416,positivo
3417,negativo
3418,negativo
3419,positivo
3420,negativo
3421,negativo
3422,negativo
3423,positivo
3424,negativo
3425,positivo
3426,negativo
3427,negativo
3428,positivo
3429,negativo
3430,negativo
3431,negativo
3432,negativo
3433,negativo
3434,negativo
3435,negativo
3436,negativo
3437,negativo
3438,positivo
3439,negativo
3440,positivo
3441,positivo
3442,negativo
3443,negativo
3444,negativo
3445,positivo
3446,positivo
3447,positivo
3448,negativo
3449,negativo
3450,positivo
3451,positivo
3452,negativo
3453,positivo
3454,negativo
3455,negativo
3456,positivo
3457,positivo
3458,negativo
3459,positivo
3460,positivo
3461,negativo
3462,negativo
3463,negativo
3464,positivo
3465,positivo
3466,positivo
3467,negativo
3468,negativo
3469,negativo
3470,negativo
3471,negativo
3472,negativo
3473,negativo
3474,negativo
3475,positivo
3476,negativo
3477,negativo
3478,negativo
3479,negativo
3480,negativo
3481,positivo
3482,negativo
3483,negativo
3484,negativo
3485,negativo
3486,positivo
3487,negativo
3488,negativo
3489,negativo
3490,negativo
3491,positivo
3492,positivo
3493,negativo
3494,negativo
3495,positivo
3496,negativo
3497,negativo
3498,negativo
3499,negativo
3500,negativo
3501,negativo
3502,negativo
3503,negativo
3504,negativo
3505,negativo
3506,positivo
3507,negativo
3508,negativo
3509,positivo
3510,positivo
3511,negativo
3512,negativo
3513,negativo
3514,positivo
3515,negativo
3516,negativo
3517,negativo
3518,positivo
3519,negativo
3520,positivo
3521,negativo
3522,negativo
3523,negativo
3524,negativo
3525,negativo
3526,negativo
3527,negativo
3528,negativo
3529,negativo
3530,negativo
3531,negativo
3532,positivo
3533,positivo
3534,positivo
3535,positivo
3536,negativo
3537,negativo
3538,positivo
3539,negativo
3540,negativo
3541,positivo
3542,positivo
3543,positivo
3544,positivo
3545,negativo
3546,negativo
3547,positivo
3548,positivo
3549,positivo
3550,negativo
3551,positivo
3552,negativo
3553,positivo
3554,negativo
3555,negativo
3556,negativo
3557,negativo
3558,negativo
3559,positivo
3560,positivo
3561,positivo
3562,negativo
3563,negativo
3564,negativo
3565,negativo
3566,negativo
3567,negativo
3568,positivo
3569,negativo
3570,negativo
3571,negativo
3572,negativo
3573,negativo
3574,positivo
3575,negativo
3576,negativo
3577,positivo
3578,negativo
3579,negativo
3580,negativo
3581,negativo
3582,negativo
3583,positivo
3584,negativo
3585,positivo
3586,negativo
3587,negativo
3588,negativo
3589,positivo
3590,negativo
3591,negativo
3592,positivo
3593,negativo
3594,negativo
3595,negativo
3596,negativo
3597,positivo
3598,positivo
3599,positivo
3600,positivo
3601,positivo
3602,negativo
3603,positivo
3604,negativo
3605,positivo
3606,negativo
3607,negativo
3608,negativo
3609,negativo
3610,positivo
3611,negativo
3612,negativo
3613,positivo
3614,negativo
3615,negativo
3616,negativo
3617,positivo
3618,negativo
3619,negativo
3620,negativo
3621,negativo
3622,positivo
3623,negativo
3624,negativo
3625,negativo
3626,positivo
3627,positivo
3628,positivo
3629,negativo
3630,positivo
3631,negativo
3632,negativo
3633,positivo
3634,negativo
3635,positivo
3636,negativo
3637,positivo
3638,negativo
3639,negativo
3640,negativo
3641,positivo
3642,negativo
3643,negativo
3644,positivo
3645,positivo
3646,positivo
3647,negativo
3648,negativo
3649,negativo
3650,negativo
3651,negativo
3652,negativo
3653,negativo
3654,negativo
3655,positivo
3656,positivo
3657,negativo
3658,negativo
3659,negativo
3660,positivo
3661,negativo
3662,positivo
3663,positivo
3664,negativo
3665,negativo
3666,negativo
3667,positivo
3668,negativo
3669,positivo
3670,positivo
3671,negativo
3672,negativo
3673,negativo
3674,positivo
3675,negativo
3676,negativo
3677,positivo
3678,positivo
3679,positivo
3680,negativo
3681,negativo
3682,positivo
3683,negativo
3684,negativo
3685,positivo
3686,positivo
3687,positivo
3688,negativo
3689,positivo
3690,negativo
3691,positivo
3692,negativo
3693,positivo
3694,negativo
3695,negativo
3696,positivo
3697,negativo
3698,negativo
3699,negativo
3700,positivo
3701,positivo
3702,positivo
3703,negativo
3704,negativo
3705,negativo
3706,positivo
3707,positivo
3708,negativo
3709,positivo
3710,negativo
3711,negativo
3712,positivo
3713,positivo
3714,negativo
3715,negativo
3716,positivo
3717,positivo
3718,positivo
3719,negativo
3720,negativo
3721,negativo
3722,negativo
3723,negativo
3724,negativo
3725,negativo
3726,negativo
3727,positivo
3728,negativo
3729,positivo
3730,positivo
3731,negativo
3732,positivo
3733,negativo
3734,positivo
3735,negativo
3736,negativo
3737,positivo
3738,positivo
3739,negativo
3740,negativo
3741,positivo
3742,negativo
3743,negativo
3744,positivo
3745,positivo
3746,positivo
3747,positivo
3748,negativo
3749,negativo
3750,negativo
3751,positivo
3752,negativo
3753,positivo
3754,positivo
3755,negativo
3756,negativo
3757,negativo
3758,negativo
3759,negativo
3760,negativo
3761,negativo
3762,positivo
3763,negativo
3764,negativo
3765,negativo
3766,negativo
3767,negativo
3768,negativo
3769,negativo
3770,negativo
3771,positivo
3772,negativo
3773,negativo
3774,positivo
3775,negativo
3776,negativo
3777,negativo
3778,negativo
3779,positivo
3780,negativo
3781,negativo
3782,negativo
3783,negativo
3784,negativo
3785,negativo
3786,negativo
3787,negativo
3788,negativo
3789,negativo
3790,negativo
3791,negativo
3792,negativo
3793,negativo
3794,negativo
3795,negativo
3796,negativo
3797,negativo
3798,negativo
3799,positivo
3800,negativo
3801,positivo
3802,negativo
3803,positivo
3804,positivo
3805,negativo
3806,negativo
3807,negativo
3808,positivo
3809,positivo
3810,positivo
3811,positivo
3812,positivo
3813,positivo
3814,negativo
3815,negativo
3816,negativo
3817,negativo
3818,negativo
3819,negativo
3820,negativo
3821,positivo
3822,negativo
3823,negativo
3824,positivo
3825,negativo
3826,negativo
3827,positivo
3828,positivo
3829,positivo
3830,positivo
3831,negativo
3832,positivo
3833,negativo
3834,positivo
3835,positivo
3836,negativo
3837,positivo
3838,negativo
3839,negativo
3840,negativo
3841,negativo
3842,positivo
3843,positivo
3844,negativo
3845,negativo
3846,positivo
3847,positivo
3848,positivo
3849,positivo
3850,positivo
3851,negativo
3852,positivo
3853,negativo
3854,positivo
3855,positivo
3856,negativo
3857,negativo
3858,positivo
3859,negativo
3860,positivo
3861,positivo
3862,negativo
3863,positivo
3864,positivo
3865,positivo
3866,positivo
3867,negativo
3868,positivo
3869,positivo
3870,negativo
3871,positivo
3872,positivo
3873,positivo
3874,positivo
3875,positivo
3876,negativo
3877,positivo
3878,positivo
3879,negativo
3880,positivo
3881,negativo
3882,negativo
3883,negativo
3884,positivo
3885,positivo
3886,positivo
3887,positivo
3888,positivo
3889,negativo
3890,positivo
3891,positivo
3892,negativo
3893,negativo
3894,positivo
3895,negativo
3896,negativo
3897,negativo
3898,positivo
3899,negativo
3900,negativo
3901,negativo
3902,positivo
3903,negativo
3904,positivo
3905,negativo
3906,positivo
3907,negativo
3908,positivo
3909,negativo
3910,positivo
3911,negativo
3912,positivo
3913,negativo
3914,positivo
3915,positivo
3916,positivo
3917,positivo
3918,positivo
3919,positivo
3920,positivo
3921,positivo
3922,positivo
3923,positivo
3924,positivo
3925,positivo
3926,positivo
3927,positivo
3928,positivo
3929,negativo
3930,positivo
3931,positivo
3932,positivo
3933,positivo
3934,positivo
3935,positivo
3936,positivo
3937,positivo
3938,positivo
3939,positivo
3940,positivo
3941,negativo
3942,negativo
3943,negativo
3944,negativo
3945,positivo
3946,negativo
3947,positivo
3948,positivo
3949,negativo
3950,positivo
3951,negativo
3952,negativo
3953,positivo
3954,positivo
3955,positivo
3956,positivo
3957,positivo
3958,negativo
3959,positivo
3960,positivo
3961,negativo
3962,negativo
3963,positivo
3964,negativo
3965,positivo
3966,positivo
3967,positivo
3968,positivo
3969,positivo
3970,positivo
3971,negativo
3972,positivo
3973,positivo
3974,positivo
3975,negativo
3976,positivo
3977,positivo
3978,negativo
3979,positivo
3980,positivo
3981,positivo
3982,positivo
3983,positivo
3984,positivo
3985,positivo
3986,positivo
3987,positivo
3988,positivo
3989,positivo
3990,negativo
3991,positivo
3992,negativo
3993,negativo
3994,positivo
3995,positivo
3996,negativo
3997,positivo
3998,negativo
3999,positivo
4000,positivo
4001,negativo
4002,negativo
4003,positivo
4004,negativo
4005,negativo
4006,negativo
4007,positivo
4008,positivo
4009,negativo
4010,positivo
4011,positivo
4012,positivo
4013,positivo
4014,positivo
4015,negativo
4016,negativo
4017,positivo
4018,positivo
4019,positivo
4020,positivo
4021,positivo
4022,positivo
4023,positivo
4024,positivo
4025,positivo
4026,positivo
4027,positivo
4028,positivo
4029,negativo
4030,negativo
4031,negativo
4032,positivo
4033,negativo
4034,positivo
4035,negativo
4036,positivo
4037,negativo
4038,positivo
4039,negativo
4040,positivo
4041,positivo
4042,negativo
4043,positivo
4044,positivo
4045,positivo
4046,positivo
4047,positivo
4048,negativo
4049,negativo
4050,positivo
4051,negativo
4052,positivo
4053,positivo
4054,positivo
4055,positivo
4056,positivo
4057,positivo
4058,positivo
4059,positivo
4060,positivo
4061,positivo
4062,positivo
4063,positivo
4064,positivo
4065,negativo
4066,positivo
4067,positivo
4068,positivo
4069,positivo
4070,positivo
4071,positivo
4072,positivo
4073,negativo
4074,negativo
4075,positivo
4076,positivo
4077,negativo
4078,positivo
4079,positivo
4080,negativo
4081,positivo
4082,negativo
4083,positivo
4084,negativo
4085,positivo
4086,positivo
4087,positivo
4088,positivo
4089,positivo
4090,negativo
4091,positivo
4092,positivo
4093,positivo
4094,positivo
4095,negativo
4096,positivo
4097,negativo
4098,negativo
4099,positivo
4100,positivo
4101,positivo
4102,positivo
4103,positivo
4104,positivo
4105,positivo
4106,positivo
4107,negativo
4108,positivo
4109,positivo
4110,positivo
4111,negativo
4112,positivo
4113,negativo
4114,positivo
4115,positivo
4116,positivo
4117,negativo
4118,positivo
4119,positivo
4120,negativo
4121,negativo
4122,positivo
4123,negativo
4124,positivo
4125,positivo
4126,positivo
4127,positivo
4128,positivo
4129,positivo
4130,negativo
4131,positivo
4132,positivo
4133,negativo
4134,positivo
4135,positivo
4136,positivo
4137,positivo
4138,positivo
